address,Attractions,Great_for_walker,hotel_name,rank,Restaurant_nearby,Review,Review_number,Room_number,Travel_types,languages,number_images_Traveler,number_room_dining,number_room_suite
"Bai Bac, Da Nang 550000 Vietnam",,,InterContinental Danang Sun Peninsula Resort,#4,,,"4,982 reviews",201,"Families,Couples,Solo,Business,Friends","All languages,English,Korean,Chinese (Sim.)"," (,7901,) ",734,1440
"120 Nguyen Van Thoai St, My An Ward, Ngu Hanh Son Dist., Da Nang 550000 Vietnam",2,77,Risemount Premier Resort Danang,#53,91,,510 reviews,103,"Families,Couples,Solo,Business,Friends","All languages,English,Korean,Vietnamese"," (,463,) ",21,58
"305 Tran Hung Dao Son Tra District, Da Nang 550000 Vietnam",3,72,Palmier Hotel & Apartment,#51,24,,164 reviews,30,"Families,Couples,Solo,Business,Friends","All languages,Vietnamese,English,Chinese (Sim.)"," (,120,) ",28,32
"101 Vo Nguyen Giap Street Khue My Ward, Ngu Hanh Son District, Da Nang 550000 Vietnam",3,64,Pullman Danang Beach Resort,#73,21,,"1,861 reviews",186,"Families,Couples,Solo,Business,Friends","All languages,English,Japanese,Chinese (Sim.)"," (,2419,) ",333,375
"No.19, Truong Sa Street, Da Nang 550000 Vietnam",8,66,Melia Danang Beach Resort,#89,16,,"1,233 reviews",264,"Families,Couples,Solo,Business,Friends","All languages,English,Korean,Japanese"," (,1344,) ",185,52
"05 Truong Sa Street Hoa Hai Ward, Ngu Hanh Son District, Da Nang 550000 Vietnam",154,50,Hyatt Regency Danang Resort & Spa,#91,1115,,"2,928 reviews",375,"Families,Couples,Solo,Business,Friends","All languages,English,Korean,Japanese"," (,3068,) ",481,812
"1691 Nguyen Tat Thanh, Da Nang 550000 Vietnam",,,Avenis Hotel,#418,,,2 reviews,35,"Families,Couples,Solo,Business,Friends","All languages,English,Vietnamese"," (,17,) ",3,17
"103 - 105 Vo Nguyen Giap Street, Khue My Ward, Ngu Hanh Son District, Da Nang Vietnam",3,60,Furama Resort Danang,#80,18,,"3,505 reviews",198,"Families,Couples,Solo,Business,Friends","All languages,English,Korean,Japanese"," (,2573,) ",442,472
"Lot H2-12-13, Pham Van Dong An Hai Bac, Son Tra, Da Nang 550000 Vietnam",4,74,Roliva Hotel & Apartment Danang,#133,23,,37 reviews,80,"Families,Couples,Solo,Business,Friends","All languages,English,Vietnamese,Korean"," (,11,) ",11,22
"21 Truong Sa Road Hoa Hai Ward, Ngu Hanh Son District, Da Nang 5000 Vietnam",8,61,Sandy Beach Non Nuoc Resort,#90,17,,"1,286 reviews",198,"Families,Couples,Solo,Business,Friends","All languages,English,Korean,Chinese (Sim.)"," (,1133,) ",194,329
"15-16 Hoang Sa Son Tra, Da Nang 550000 Vietnam",3,48,Seashore Hotel - Apartment,#92,28,,126 reviews,80,"Families,Couples,Solo,Business,Friends","All languages,English,Vietnamese,Korean"," (,134,) ",11,57
"Block 16, Nguyen Van Thoai Street Ngu Hanh Son District, Da Nang 55000 Vietnam",2,78,Hanoi Blue Hotel,#85,86,,12 reviews,20,"Families,Couples,Solo,Business,Friends","All languages,English,Vietnamese,Korean"," (,8,) ",1,14
"234 Vo Nguyen Giap Street, Phuoc My Ward, Son Tra District, Da Nang 550000 Vietnam",11,85,Canvas Danang Beach Hotel,#257,72,,4 reviews,100,"Families,Couples,Solo,Business,Friends","All languages,English,Vietnamese"," (,17,) ",3,28
"No. 47, Vo Van Kiet Street, Phuoc My Ward, Son Tra District, Danang City, Da Nang 550000 Vietnam",6,80,Dana Marina Hotel,#167,59,,62 reviews,67,"Families,Couples,Solo,Business,Friends","All languages,English,Chinese (Trad.),Vietnamese"," (,56,) ",17,18
"7&8 Le Van Quy, Da Nang 550000 Vietnam",5,78,The Herriott Hotel & Suite,#1,39,,43 reviews,27,"Families,Couples,Solo,Business,Friends","All languages,English,Vietnamese,Japanese"," (,57,) ",2,28
"39 Loseby Street, Son Tra District, Danang - Vietnam Intersection of Loseby va Hoang Bich Son, Son Tra, Da Nang 550000 Vietnam",3,77,Rosabella Boutique Hotel,#30,35,,19 reviews,32,"Families,Couples,Solo,Business,Friends","All languages,English,Vietnamese,French"," (,4,) ",4,12
"Nguyen Tat Thanh Street Hoa Hiep Nam Ward,, Lien Chieu, Da Nang Vietnam",,,Da Nang Mikazuki Japanese Resorts & Spa,#1,,,10 reviews,389,"Families,Couples,Solo,Business,Friends","All languages,Vietnamese,English,Japanese"," (,50,) ",22,38
"136 Le Duan Hai Chau District, Da Nang 550000 Vietnam",10,83,Avora Boutique Hotel,#129,51,,46 reviews,42,"Families,Couples,Solo,Business,Friends","All languages,English,Korean,Chinese (Trad.)"," (,48,) ",22,34
"410 Vo Nguyen Giap Ngu Hanh Son District, Da Nang Vietnam",8,74,Dreams Hotel Danang,#223,131,,25 reviews,25,"Families,Couples,Solo,Business,Friends","All languages,English,Russian,Vietnamese"," (,29,) ",1,13
